Machine Name, Subscription,Resource Group, Location,Maintenance run ID, Status,Operation status reason, Update installed,Update operation, Operation type,Operation start time, Resource Type,Last assessed time, Operation ID,Tags
PGHXALAND02,RRC EA Credits,azure-arc,East US,2.03E+13,Failed,"3 errors reported. The latest 100 errors are shared in details. To view all errors, review this log file on the machine:[C:\ProgramData\GuestConfig\extension_logs\Microsoft.SoftwareUpdateManagement.WindowsOsUpdateExtension\8.telemetryLogs].",1 out of 5,Install Updates,Customer Managed Schedules,"2/4/2025, 09:01:58 PM",Arc-enabled server,"2/4/2025, 09:06:10 PM",0d5d4b94-6715-4549-8f3b-2971ba2bebf2,Department:Department; Team:IT Infrastructure Server Admins; Responsible:Responsible; Site:Pittsburgh; deployedBY:GPO
FTWXAGP01,,,,,,,,,,,,,,
